"","plotID","rich"
"879","CPER_034","36"
"880","CPER_020","113"
"881","CPER_035","25"
"882","CPER_030","102"
"883","CPER_031","40"
"884","CPER_040","28"
"885","CPER_039","36"
"886","CPER_018","89"
"887","CPER_013","99"
"888","CPER_024","100"
"889","CPER_027","82"
"890","CPER_019","105"
"891","CPER_022","83"
"892","CPER_014","104"
"893","CPER_037","42"
"894","CPER_028","84"
"895","CPER_033","38"
"896","CPER_023","88"
"897","CPER_012","110"
"898","CPER_029","93"
"899","CPER_036","33"
"900","CPER_021","79"
"901","CPER_015","112"
"902","CPER_026","100"
"903","CPER_011","99"
"904","CPER_016","79"
"905","CPER_061","22"
"906","CPER_046","71"
"907","CPER_062","20"
"908","CPER_073","22"
"909","CPER_055","18"
"910","CPER_068","24"
"911","CPER_069","20"
"912","CPER_074","19"
"913","CPER_071","23"
"914","CPER_058","29"
"915","CPER_048","18"
"916","CPER_051","22"
"917","CPER_054","25"
"918","CPER_038","27"
"919","RMNP_030","86"
"920","RMNP_016","81"
"921","RMNP_013","95"
"922","RMNP_028","18"
"923","RMNP_019","104"
"924","RMNP_014","44"
"925","RMNP_006","32"
"926","RMNP_011","108"
"927","RMNP_012","26"
"928","RMNP_021","23"
"929","RMNP_023","43"
"930","RMNP_026","44"
"931","RMNP_005","52"
"932","RMNP_008","47"
"933","RMNP_010","82"
"934","RMNP_004","35"
"935","RMNP_027","32"
"936","RMNP_001","44"
"937","RMNP_002","60"
"938","RMNP_020","64"
"939","RMNP_018","37"
"940","RMNP_024","35"
"941","RMNP_015","57"
"942","RMNP_009","72"
"943","RMNP_003","53"
"944","RMNP_022","68"
"945","RMNP_041","110"
"946","RMNP_017","58"
"947","RMNP_025","61"
"948","RMNP_007","47"
"949","RMNP_044","136"
"950","RMNP_043","109"
"951","RMNP_029","24"
"952","STER_006","42"
"953","STER_007","16"
"954","STER_027","48"
"955","STER_028","49"
"956","STER_026","52"
"957","STER_032","42"
"958","STER_029","61"
"959","STER_031","56"
"960","STER_016","41"
"961","STER_012","38"
"962","STER_011","36"
"963","CLBJ_003","142"
"964","CLBJ_002","160"
"965","CLBJ_001","160"
"966","CLBJ_036","143"
"967","CLBJ_042","73"
"968","CLBJ_051","75"
"969","CLBJ_037","99"
"970","CLBJ_034","136"
"971","CLBJ_039","123"
"972","CLBJ_035","94"
"973","CLBJ_050","130"
"974","CLBJ_033","154"
"975","CLBJ_043","113"
"976","CLBJ_038","138"
"977","CLBJ_041","105"
"978","CLBJ_044","96"
"979","CLBJ_040","49"
"980","CLBJ_045","140"
"981","CLBJ_046","98"
"982","CLBJ_032","134"
"983","CLBJ_054","116"
"984","CLBJ_049","116"
"985","CLBJ_031","152"
"986","CLBJ_052","90"
"987","CLBJ_053","101"
"988","CLBJ_047","157"
"989","CLBJ_058","31"
"990","CLBJ_055","88"
"991","CLBJ_057","38"
"992","CLBJ_060","97"
"993","CLBJ_056","36"
"994","CLBJ_059","118"
"995","CLBJ_048","104"
"996","OAES_013","160"
"997","OAES_042","132"
"998","OAES_001","180"
"999","OAES_044","170"
"1000","OAES_043","158"
"1001","OAES_005","117"
"1002","OAES_014","130"
"1003","OAES_010","128"
"1004","OAES_012","137"
"1005","OAES_008","87"
"1006","OAES_017","159"
"1007","OAES_021","137"
"1008","OAES_030","142"
"1009","OAES_004","152"
"1010","OAES_015","145"
"1011","OAES_025","164"
"1012","OAES_006","171"
"1013","OAES_002","163"
"1014","OAES_019","149"
"1015","OAES_016","135"
"1016","OAES_003","137"
"1017","OAES_022","172"
"1018","OAES_018","147"
"1019","OAES_029","140"
"1020","OAES_024","175"
"1021","OAES_009","151"
"1022","OAES_007","155"
"1023","OAES_028","123"
"1024","OAES_027","110"
"1025","OAES_020","109"
"1026","OAES_023","149"
"1027","OAES_011","112"
"1028","OAES_026","123"
"1029","YELL_006","109"
"1030","YELL_018","69"
"1031","YELL_002","95"
"1032","YELL_020","101"
"1033","YELL_016","110"
"1034","YELL_013","73"
"1035","YELL_046","161"
"1036","YELL_015","54"
"1037","YELL_004","138"
"1038","YELL_048","77"
"1039","YELL_011","90"
"1040","YELL_023","134"
"1041","YELL_051","129"
"1042","YELL_003","106"
"1043","YELL_010","70"
"1044","YELL_026","86"
"1045","YELL_001","69"
"1046","YELL_014","77"
"1047","YELL_008","85"
"1048","YELL_009","103"
"1049","YELL_029","9"
"1050","YELL_005","102"
"1051","YELL_012","75"
"1052","YELL_007","137"
"1053","YELL_021","70"
"1054","YELL_017","44"
"1055","YELL_019","55"
"1056","YELL_027","46"
"1057","YELL_024","70"
"1058","YELL_022","76"
"1059","YELL_025","47"
"1060","YELL_028","1"
"1061","YELL_030","1"
"1062","YELL_071","1"
"1063","MOAB_001","45"
"1064","MOAB_027","38"
"1065","MOAB_029","45"
"1066","MOAB_002","49"
"1067","MOAB_004","36"
"1068","MOAB_006","63"
"1069","MOAB_008","40"
"1070","MOAB_005","52"
"1071","MOAB_003","39"
"1072","MOAB_009","53"
"1073","MOAB_020","35"
"1074","MOAB_010","64"
"1075","MOAB_025","42"
"1076","MOAB_007","49"
"1077","MOAB_046","29"
"1078","MOAB_044","39"
"1079","MOAB_012","63"
"1080","MOAB_045","37"
"1081","MOAB_016","32"
"1082","MOAB_021","30"
"1083","MOAB_013","42"
"1084","MOAB_018","46"
"1085","MOAB_014","50"
"1086","MOAB_019","43"
"1087","MOAB_015","62"
"1088","MOAB_017","42"
"1089","MOAB_011","40"
"1090","MOAB_023","59"
"1091","MOAB_026","39"
"1092","MOAB_022","50"
"1093","MOAB_024","38"
"1094","MOAB_028","22"
"1095","MOAB_030","41"
"1096","MOAB_076","38"
"1097","NIWO_018","120"
"1098","NIWO_013","86"
"1099","NIWO_027","97"
"1100","NIWO_026","102"
"1101","NIWO_003","94"
"1102","NIWO_025","103"
"1103","NIWO_023","77"
