"","plotID","d15N","d13C","nitrogenPercent","carbonPercent","CNratio"
"244","DSNY_041",0.65,-19.525,0.81,47.0625,63.6
"245","DSNY_042",0.52,-26.72,0.574,49.52,91.6
"246","DSNY_043",-2.06666666666667,-13.7,0.63,47.7633333333333,80.8333333333333
"247","DSNY_044",1.3,-18.2,0.635,47.725,74.85
"248","DSNY_045",0.04,-22.68,0.62,47.876,81.26
"249","DSNY_046",-0.1,-14.0666666666667,0.533333333333333,47.4166666666667,96.7333333333333
"250","DSNY_047",-0.35,-13.55,0.52,47.355,93.75
"251","DSNY_048",-0.933333333333333,-15.6666666666667,0.82,47.5766666666667,60.2666666666667
"252","DSNY_049",0.7,-13.9,0.606666666666667,47.29,79.2333333333333
"253","DSNY_050",0.2,-18.25,0.565,47.3525,87.8
"254","DSNY_051",-1.9,-20.775,0.725,46.315,67.475
"255","DSNY_052",0.7,-18.7,0.745,46.8425,66.85
"256","DSNY_053",1.26666666666667,-15.4,0.59,48.33,89.5
"257","DSNY_054",-0.85,-13.05,0.445,48.45,114.6
"258","DSNY_055",-0.666666666666667,-15.3666666666667,0.513333333333333,47.5033333333333,94.3666666666667
"259","DSNY_056",-4.875,-25.925,0.3725,49.6125,150.575
"260","DSNY_057",-1.56666666666667,-13.4666666666667,0.54,46,88.2
"261","DSNY_058",-0.666666666666667,-16.0333333333333,0.6,48.3466666666667,81.8333333333333
"262","DSNY_059",-0.05,-16.45,0.705,47.675,72.65
"263","DSNY_060",1.33333333333333,-17.8,0.986666666666667,46.6733333333333,49.3333333333333
"264","DSNY_061",2,-13.5333333333333,0.706666666666667,47.8466666666667,69.2666666666667
"265","DSNY_062",-1.18,-27.38,0.532,50.254,108.02
"266","DSNY_063",-0.775,-27.55,0.79,45.235,62.575
"267","DSNY_064",-0.55,-13.2,0.9975,47.55,50.125
"268","DSNY_065",0.775,-26.1,0.86,46.7175,56.425
"269","DSNY_066",1.025,-25.3,1.15,46.6525,41.6
